;Version;Bit Type;Variable;Default Value;Variable;Condition;value;TypeNo;Comments
;;X;CRC;;;;;;
layer;;;;;;;;51;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;TV;name;;;;;;
;;B;FLAG 64;;;;;;
;;BS;xrefindex1;;;;;;
;;B;xdep;;;;;;
;R13-R14;;;;;;;;
;;B;Frozen;;;;;;
;;B;on;;;;;;
;;B;frozen in new;;;;;;
;;B;locked;;;;;;
;R2000+;;;;;;;;
;;BS;values;;;;;;
;Common;;;;;;;;
;;CMC;color;;;;;;
;;H;layer control;;;;;;
;;H;reactors;;num_reactors;RANGE;;;
;;H;xdicobjhandle;;;;;;
;;H;exref block handle;;;;;;
;R2000+;;;;;;;;
;;H;plotstyle;;;;;;
;R2007+;;;;;;;;
;;H;material;;;;;;
;Common;;;;;;;;
;;H;linetype;;;;;;
;;;;;;;;;always null
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
SHAPEFILE_Control;;;;;;;;52;
;Common;;;;;;;;
;;H;Handle;;;;;;
;;X;EED;;;;;;
;;BL;Num Entries;;;;;;
;;H;Handle null;;;;;;
;;H;handle xdicobjhandle;;;;;;
;;H;shapefile objhandles;;Num Entries;RANGE;;;
;;X;CRC;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
shapefile;;;;;;;;53;
;Common;;;;;;;;
;;H;Handle;;;;;;
